Uuid,Void/Retire,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form,Ingredient 1,Ingredient 1 Strength,Ingredient 1 Units,Ingredient 2,Ingredient 2 Strength,Ingredient 2 Units,Ingredient 3,Ingredient 3 Strength,Ingredient 3 Units,Ingredient 4,Ingredient 4 Strength,Ingredient 4 Units
81f45c51-9561-4e89-bf45-ceced109da05,,10749,"Glycerin, 2 gram rectal suppository",CIEL:77073,Suppository,CIEL:77073,,,,,,,,,,,
a3a42b6c-d1cd-4f40-9d58-998eb4ecc8b3,TRUE,10124,"Glycopyrronium bromide, Solution for injection, 200 microgram/mL, 3mL ampoule",CIEL:77083,Ampoule(s),CIEL:77083,,,,,,,,,,,
99dd299c-6b7a-4b41-a705-823ca4396107,,11512,"Griseofulvin, 125mg tablet",CIEL:77164,Tablet,CIEL:77164,125,Milligram,,,,,,,,,
280353a2-3da7-480b-ab58-03dcd401d3ff,,10049,"Griseofulvin, 500mg tablet",CIEL:77164,Tablet,CIEL:77164,500,Milligram,,,,,,,,,
c1f95407-9517-4eb5-af8d-d633293f4793,,10838,"Haloperidol, 1mg tablet",CIEL:77335,Tablet,CIEL:77335,1,Milligram,,,,,,,,,
23f2d94b-3072-4e86-b737-d5ccded81bc0,,11724,"Haloperidol, 5mg tablet",CIEL:77335,Tablet,CIEL:77335,5,Milligram,,,,,,,,,
a8541367-1eb0-4144-9cc7-41a909902d5d,,10392,"Haloperidol, Solution for injection, 5mg/mL, 1mL ampoule",CIEL:77335,Ampoule(s),CIEL:77335,,,,,,,,,,,
f7d73b6b-1248-483b-b334-8f0510ed46bb,,11334,"Heparin sodium, Solution for injection, 5,000 IU/mL, 1mL vial",CIEL:77414,Vial,CIEL:77414,,,,,,,,,,,
096dae85-9eee-466b-b059-9f5dd13af242,,11190,"Hydralazine hydrochloride, Solution for injection, 20mg/mL, 1mL ampoule",CIEL:77676,Ampoule(s),CIEL:77676,,,,,,,,,,,
2ff6dfce-cd7e-4a1c-9916-f398c4aaec1f,,10373,"Hydralazine hydrochloride, 25mg tablet",CIEL:77676,Tablet,CIEL:77676,25,Milligram,,,,,,,,,
ce857097-f7a1-4178-b018-a8067a5710d1,,10579,"Hydrochlorothiazide (HCT), 25mg tablet",CIEL:77696,Tablet,CIEL:77696,25,Milligram,,,,,,,,,
a811008f-05fd-4f30-b50c-4d3636472db5,,11632,"Hydrocortisone acetate, Skin cream, 1%, 15 gram tube",CIEL:77719,Tube,CIEL:77719,,,,,,,,,,,
68f687c0-2875-4934-a060-825be42943e2,,11136,"Hydrogen peroxide, 3%, 500mL bottle",CIEL:169978,Bottle,CIEL:169978,,,,,,,,,,,
0f0b85a4-b06b-484e-8213-3fe38279e3ad,,10724,"Hydroxycarbamide, 500mg capsule",CIEL:77795,Capsule,CIEL:77795,500,Milligram,,,,,,,,,
74583b5e-80ec-4413-96b4-67907c98e443,TRUE,10645,"Hyoscine butylbromide, 1.5mg (1mg/72hours) transdermal patch",CIEL:431,Patch,CIEL:431,,,,,,,,,,,
8f2d1a7e-4ddb-4805-bf7e-1fb765592124,TRUE,11380,"Hyoscine butylbromide, 10mg film coated tablet",CIEL:431,Tablet,CIEL:431,10,Milligram,,,,,,,,,
9cfb1288-2db4-4ca6-b3f8-da4d85058e42,,10739,"Hyoscine butylbromide, Solution for injection, 20mg/mL, 1mL ampoule",CIEL:431,Ampoule(s),CIEL:431,,,,,,,,,,,
49f646b5-c9a3-47e7-9fc2-bb187673b838,,10534,"Ibuprofen, Oral solution, 20mg/mL, 100mL bottle",CIEL:77897,Bottle,CIEL:77897,,,,,,,,,,,
36e09631-e6d8-41c9-92d2-c945750a39b9,,10282,"Ibuprofen, 400mg tablet",CIEL:77897,Tablet,CIEL:77897,400,Milligram,,,,,,,,,
399834b0-b44b-11e3-a5e2-0800200c9a66,,10967,"Imatinib, 400mg film coated tablet",CIEL:77941,Tablet,CIEL:77941,400,Milligram,,,,,,,,,
05868029-c96e-49c1-90b8-a35f8a4059c5,,10762,"Imiquimod, Skin cream, 5%, 250mg sachet",CIEL:77956,Sachet,CIEL:77956,,,,,,,,,,,
77077171-df0f-43c8-9a6b-245914fc143b,,10290,"Insulin, Solution for injection, Neutral human, 70/30 (Mixtard), 100IU/mL, 10mL vial",CIEL:159459,Vial,CIEL:159459,,,,,,,,,,,
def06cd2-c046-4afc-9a49-475d3481cbcf,,11265,"Insulin, Solution for injection, Neutral human, Regular (Rapid-Acting), 100IU/mL, 10mL vial",CIEL:78082,Vial,CIEL:78082,,,,,,,,,,,
568b5484-1f52-424a-a45d-3f1c9e0d92d6,,10442,"Insulin, Solution for injection, Neutral human, NPH (Lente/Isophane), 100IU/mL, 10mL vial",CIEL:78068,Vial,CIEL:78068,,,,,,,,,,,
433be56e-469b-4d38-a91c-1a1937e086b7,TRUE,10911,"Iodized oil, 200mg capsule",CIEL:75974,Capsule,CIEL:75974,200,Milligram,,,,,,,,,
640c6d82-b135-433b-9d79-9dc54ab7bf06,,10721,"Ipratropium bromide, Solution for nebulisation, 250 microgram/mL, 1mL ampoule",CIEL:78200,Ampoule(s),CIEL:78200,,,,,,,,,,,
8b6830f5-8807-4be1-9062-37388a737a0c,TRUE,11198,"Ipratropium bromide, Solution for nebulisation, 250 microgram/mL, 2mL ampoule",CIEL:78200,Ampoule(s),CIEL:78200,,,,,,,,,,,
f540ba7b-160f-46d2-97f6-104e2a5f5655,,11637,"Iron dextran, Solution for injection, 50mg/mL (5%), 2mL ampoule",CIEL:78230,Ampoule(s),CIEL:78230,,,,,,,,,,,
35f29edc-d591-43ea-a16f-cbd998ec7807,,10340,"Isoflurane, Inhalation liquid, 250mL bottle",CIEL:78258,Bottle,CIEL:78258,,,,,,,,,,,
e47fa273-0c52-4f0f-b57b-34001a3e9677,,11091,"Isoniazid (H), 100mg tablet",CIEL:78280,Tablet,CIEL:78280,100,Milligram,,,,,,,,,
849218ee-901c-46b3-80f9-7c808132893b,,11115,"Isoniazid (H), 300mg tablet",CIEL:78280,Tablet,CIEL:78280,300,Milligram,,,,,,,,,
95518896-df94-4e7d-b233-cc5af823975a,,10262,"Isosorbide dinitrate, 20mg extended release tablet",CIEL:78305,Tablet,CIEL:78305,20,Milligram,,,,,,,,,
6a210d68-871e-4f44-8dc4-e92ff69da458,TRUE,10350,"Isosorbide dinitrate, 5mg tablet",CIEL:78305,Tablet,CIEL:78305,5,Milligram,,,,,,,,,
e2ea0ba6-5069-4cc5-a50e-472f992c1707,,10615,"Ketamine hydrochloride, Solution for injection, 50mg/mL, 10mL vial",CIEL:78468,Vial,CIEL:78468,,,,,,,,,,,
158b8612-4472-11e6-beb8-9e71128cae77,TRUE,10464,"Ketoconazole, Scalp and hair shampoo, 20mg/mL (2%), 60mL bottle",CIEL:78476,Bottle,CIEL:78476,,,,,,,,,,,
158b8982-4472-11e6-beb8-9e71128cae77,TRUE,10441,"Ketoconazole, Skin cream, 2%, 15 gram tube",CIEL:78476,Tube,CIEL:78476,,,,,,,,,,,
2c151c1a-5159-4181-aed4-450bb562d2d0,,10293,"Labetalol, Solution for injection, 5mg/mL, 20mL vial",CIEL:78599,Vial,CIEL:78599,,,,,,,,,,,
aa455dc6-7e45-4859-82e6-4392407b2dc2,TRUE,10327,"Lactulose, Oral solution, 0.67g/mL, 500mL bottle",CIEL:78632,Bottle,CIEL:78632,,,,,,,,,,,
93b4e35a-d986-11e5-b5d2-0a1d41d68578,,10763,"Letrozole, 2.5mg tablet",CIEL:78738,Tablet,CIEL:78738,2.5,Milligram,,,,,,,,,
c3ecd178-91d4-11e8-9eb6-529269fb1459,,10941,"Calcium folinate, Solution for injection, 10mg/mL, 5mL vial",CIEL:78743,Vial,CIEL:78743,,,,,,,,,,,
a275302c-b767-4d1a-96c0-e8350a968060,,12690,"Levonorgestrel, 30 microgram tablet",CIEL:78796,Tablet,CIEL:78796,30,Microgram,,,,,,,,,
3ca1fb3f-02e6-465d-86d9-b016ee30207b,,10876,"Levonorgestrel, 750 microgram tablet",CIEL:78796,Tablet,CIEL:78796,750,Microgram,,,,,,,,,
f1bb371a-c172-4bd1-b734-a36c801697df,,11339,"Levonorgestrel 150 microgram + Ethinylestradiol 30 microgram + Ferrous fumarate 75mg, tablet",CIEL:162296,Tablet,CIEL:78796,150,Microgram,PIH:20936,30,Microgram,CIEL:76335,75,Milligram,,,
1af24d20-29f7-45da-88ec-f5cd2458d6e9,,11623,"Levothyroxine sodium, 100 microgram tablet",CIEL:78809,Tablet,CIEL:78809,100,Microgram,,,,,,,,,
e87f6cb0-de6f-4658-9ba1-246b8f9b79fa,TRUE,11417,"Lidocaine hydrochloride, Preservative free solution for injection, 1% (10mg/mL), 20mL vial",CIEL:78850,Vial,CIEL:78850,,,,,,,,,,,
6671d643-75f9-44bc-9f3a-ddddd0c1eed5,TRUE,10832,"Lidocaine hydrochloride 1% + Adrenaline 1:200,000, 20mL vial",CIEL:104584,Vial,CIEL:78850,,,CIEL:154365,,,,,,,,
56dbb380-9584-4c21-9652-a2f43cbc3f33,,11624,"Lidocaine hydrochloride, Topical gel, 2% (20mg/gram), 30g tube",CIEL:78850,Tube,CIEL:78850,,,,,,,,,,,
a40d9fca-c981-11e7-abc4-cec278b6b50a,,10029,"Lidocaine 2.5% (25mg/gram) + Prilocaine 2.5% (25mg/gram), Skin cream, 30 gram tube (EMLA)",CIEL:104983,Tube,CIEL:78849,,,,,,,,,,,
a30aa780-1b61-4eec-aedd-9590b892580f,,12138,"Lisinopril, 10mg tablet",CIEL:78945,Tablet,CIEL:78945,10,Milligram,,,,,,,,,
4534a926-8dc4-440b-bdf9-f9e96d282a28,,10053,"Lisinopril, 20mg tablet",CIEL:78945,Tablet,CIEL:78945,20,Milligram,,,,,,,,,
d0876723-9087-4ea5-b26d-d46cf914835f,,11114,"Lisinopril, 5mg tablet",CIEL:78945,Tablet,CIEL:78945,5,Milligram,,,,,,,,,
3c9fa00d-f14f-4bd5-bca8-edeb88cad587,,10805,"Loperamide hydrochloride, 2mg tablet",CIEL:79038,Tablet,CIEL:79038,2,Milligram,,,,,,,,,
581c915c-8b74-43d9-9249-5fd19dd8a36e,,19377,"Lorazepam, 1mg tablet",CIEL:79054,Tablet,CIEL:79054,1,Milligram,,,,,,,,,
51f525a9-b834-42fb-b846-d3c5ceb53b18,,12781,Losartan 50mg + Hydrochlorothiazide (HCT) 12.5mg film coated tablet,CIEL:104834,Tablet,CIEL:79074,50,Milligram,CIEL:77696,12.5,Milligram,,,,,,
0bb5dfe8-8a9e-4253-893a-7cb12b6314d6,,10866,"Lubricant jelly, approx 45 gram tube",CIEL:162138,Tube,CIEL:162138,,,,,,,,,,,
7518d870-c206-4a88-a4a4-704939753cec,TRUE,11026,"Magnesium carbonate 11.57g + citric acid 17.79g, Effervescent powder, 29.5 gram sachet",CIEL:162137,Sachet,CIEL:79229,11.57,Gram,CIEL:73474,17.79,Gram,,,,,,
d3817c4c-2b55-4bda-9a68-bdb124851df3,,11404,"Magnesium sulfate, Solution for injection, 500mg/mL (50%), 10mL ampoule",CIEL:79247,Ampoule(s),CIEL:79247,,,,,,,,,,,
219685e2-dcb1-48f8-b4ff-1d19325ce097,,10004,"Aluminium hydroxide 120mg + magnesium hydroxide 250mg, tablet",CIEL:103526,Tablet,CIEL:70991,120,Milligram,PIH:20931,250,Milligram,,,,,,
eaa471de-45c5-4fdf-af95-3f17ddb43461,,11007,"Mannitol, Intravenous infusion, 20 grams/100mL (20%), 500mL bottle",CIEL:79303,Bottle,CIEL:79303,,,,,,,,,,,
73ab0bc6-73ee-486d-b79a-362b423b2233,,10377,"Mebendazole, 100mg tablet",CIEL:79413,Tablet,CIEL:79413,100,Milligram,,,,,,,,,
158b8ac2-4472-11e6-beb8-9e71128cae77,,10297,"Mesalazine, 500mg tablet",CIEL:79616,Tablet,CIEL:79616,500,Milligram,,,,,,,,,
04821031-df8b-4cba-a496-02b9ff56c32a,,10376,"Metformin hydrochloride, 1000mg tablet",CIEL:79652,Tablet,CIEL:79652,1000,Milligram,,,,,,,,,
afd2cd78-4dc6-4e91-ac9f-51b9e094e34a,,11144,"Metformin hydrochloride, 500mg tablet",CIEL:79652,Tablet,CIEL:79652,500,Milligram,,,,,,,,,
a40da448-c981-11e7-abc4-cec278b6b50a,,11002,"Metformin hydrochloride, 850mg tablet",CIEL:79652,Tablet,CIEL:79652,850,Milligram,,,,,,,,,
c3ecd3da-91d4-11e8-9eb6-529269fb1459,,10500,"Methotrexate, Preservative free solution for injection, 25mg/mL, 2mL vial",CIEL:79700,Vial,CIEL:79700,,,,,,,,,,,
70123af9-a72a-4f6e-a188-140d905a84be,,10002,"Methyldopa, 250mg film coated tablet",CIEL:79723,Tablet,CIEL:79723,250,Milligram,,,,,,,,,
7cbff751-d2f2-4d52-9060-c00b77c28b5a,,11439,"Methylergometrine, Solution for injection, 200 microgram/mL, 1mL ampoule",CIEL:79729,Ampoule(s),CIEL:79729,,,,,,,,,,,
2573e237-e8f0-433c-bda6-a40178730d22,,10750,"Methylprednisolone sodium succinate, Powder for solution for injection, 125mg vial with solvent",CIEL:70035,Vial,CIEL:70035,,,,,,,,,,,
399834b3-b44b-11e3-a5e2-0800200c9a66,,11733,"Metoclopramide hydrochloride, 10mg tablet",CIEL:79757,Tablet,CIEL:79757,10,Milligram,,,,,,,,,
1db5bfe6-73f8-4845-8875-bfca42dedbd9,,11722,"Metoclopramide hydrochloride, Solution for injection, 5mg/mL, 2mL ampoule",CIEL:79757,Ampoule(s),CIEL:79757,,,,,,,,,,,
819b83c0-e218-4ffe-854c-75c941feb948,TRUE,10786,"Metoprolol succinate, 25mg extended release tablet",CIEL:79766,Tablet,CIEL:79766,25,Milligram,,,,,,,,,
30f0c0e3-04bd-4c5f-a8af-b3ec54c2d0aa,,10465,"Metoprolol tartrate, Solution for injection, 1mg/mL, 5mL ampoule",CIEL:79767,Ampoule(s),CIEL:79767,,,,,,,,,,,
01bf21ba-3505-4221-ad41-d81e9aa5cc6e,,11384,"Metoprolol tartrate, 50mg immediate release tablet",CIEL:79767,Tablet,CIEL:79767,50,Milligram,,,,,,,,,
a6611b4a-6d64-4a6b-af16-ee2d2be33a48,,10193,"Metronidazole, Powder for oral suspension, 125mg/5mL, 100mL bottle",CIEL:79782,Bottle,CIEL:79782,,,,,,,,,,,
a11bf1d1-7470-4b2b-a340-6e9a83e1b654,,12145,"Metronidazole, 500mg tablet",CIEL:79782,Tablet,CIEL:79782,500,Milligram,,,,,,,,,
aed7a629-8b95-4942-b665-b35f42abe55d,,10531,"Metronidazole, 250mg tablet",CIEL:79782,Tablet,CIEL:79782,250,Milligram,,,,,,,,,
0829ce7d-35d8-4ffb-b9ba-dbac2f4494c0,,10779,"Metronidazole, Solution for infusion, 5mg/mL, 100mL plastic bottle",CIEL:79782,Bottle,CIEL:79782,,,,,,,,,,,
3015bdd3-4eb4-44a3-91cd-817b79bc4dae,,11568,"Metronidazole, 500mg vaginal tablet",CIEL:79782,Tablet,CIEL:79782,500,Milligram,,,,,,,,,
e0389253-0b50-4344-8c11-02d8f4968b8f,,11840,"Miconazole nitrate, Skin cream, 2%, 30 gram tube",CIEL:79833,Tube,CIEL:79833,,,,,,,,,,,
093f7fc1-1eb1-4fdc-9697-2007828e544d,TRUE,11466,"Midazolam hydrochloride, Solution for injection, 5mg/mL, 1mL ampoule",CIEL:79854,Ampoule(s),CIEL:79854,,,,,,,,,,,
bc570323-9f3d-4a73-bf09-b28cba07b59d,TRUE,10139,"Misoprostol, 100 microgram tablet",CIEL:79984,Tablet,CIEL:79984,100,Microgram,,,,,,,,,
d61b9eb8-77ac-4949-9c47-2e14cabeaf9d,,10314,"Misoprostol, 200 microgram tablet",CIEL:79984,Tablet,CIEL:79984,200,Microgram,,,,,,,,,
